Title,Worldwide Earnings,Domestic Earnings,Domestic Percent Earnings,Foreign Earnings,Foreign Percent Earnings,Year
Mission: Impossible II,546388108,215409889,39.4,330978219,60.6,2000
Gladiator,460583960,187705427,40.8,272878533,59.2,2000
Cast Away,429632142,233632142,54.4,196000000,45.6,2000
What Women Want,374111707,182811707,48.9,191300000,51.1,2000
Dinosaur,349822765,137748063,39.4,212074702,60.6,2000
How the Grinch Stole Christmas,345842198,260745620,75.4,85096578,24.6,2000
Meet the Parents,330444045,166244045,50.3,164200000,49.7,2000
The Perfect Storm,328718434,182618434,55.6,146100000,44.4,2000
X0Men,296339528,157299718,53.1,139039810,46.9,2000
What Lies Beneath,291420351,155464351,53.3,135956000,46.7,2000
Scary Movie,278019771,157019771,56.5,121000000,43.5,2000
Charlie's Angels,264105545,125305545,47.4,138800000,52.6,2000
Erin Brockovich,256271286,125595205,49.0,130676081,51.0,2000
Unbreakable,248118121,95011339,38.3,153106782,61.7,2000
Gone in 60 Seconds,237202299,101648571,42.9,135553728,57.1,2000
Chicken Run,224834564,106834564,47.5,118000000,52.5,2000
Vertical Limit,215663859,69243859,32.1,146420000,67.9,2000
The Patriot,215294342,113330342,52.6,101964000,47.4,2000
Crouching Tiger Hidden Dragon,213525736,128078872,60.0,85446864,40.0,2000
Miss Congeniality,212742720,106807667,50.2,105935053,49.8,2000
Traffic,207515725,124115725,59.8,83400000,40.2,2000
Hollow Man,190213455,73209340,38.5,117004115,61.5,2000
102 Dalmatians,183611771,66957026,36.5,116654745,63.5,2000
Big Momma's House,173959438,117559438,67.6,56400000,32.4,2000
The Emperor's New Groove,169327687,89302687,52.7,80025000,47.3,2000
Nutty Professor II: The Klumps,166339890,123309890,74.1,43030000,25.9,2000
Scream 3,161834276,89143175,55.1,72691101,44.9,2000
Chocolat,152699946,71509363,46.8,81190583,53.2,2000
Me Myself & Irene,149270999,90570999,60.7,58700000,39.3,2000
The Beach,144056873,39785027,27.6,104271846,72.4,2000
Remember the Titans,136706683,115654751,84.6,21051932,15.4,2000
Pokémon the Movie 2000,133949270,43758684,32.7,90190586,67.3,2000
Space Cowboys,128884132,90464773,70.2,38419359,29.8,2000
U0571,127666415,77122415,60.4,50544000,39.6,2000
The Family Man,124745083,75793305,60.8,48951778,39.2,2000
Road Trip,119754278,68540777,57.2,51213501,42.8,2000
Coyote Ugly,113916474,60786269,53.4,53130205,46.6,2000
Final Destination,112880294,53331147,47.2,59549147,52.8,2000
The Exorcist 2000 Director's Cut,112053066,39671011,35.4,72382055,64.6,2000
Mission to Mars,110983407,60883407,54.9,50100000,45.1,2000
The Kid,110317580,69691949,63.2,40625631,36.8,2000
Billy Elliot,109280263,21995263,20.1,87285000,79.9,2000
Shaft,107196498,70334258,65.6,36862240,34.4,2000
The Whole Nine Yards,106371651,57262492,53.8,49109159,46.2,2000
The Cell,104155843,61334059,58.9,42821784,41.1,2000
Rugrats in Paris,103291131,76507756,74.1,26783375,25.9,2000
Shanghai Noon,99274467,56937502,57.4,42336965,42.6,2000
The Tigger Movie,96159800,45554533,47.4,50605267,52.6,2000
The 6th Day,96085477,34604280,36.0,61481197,64.0,2000
Romeo Must Die,91036760,55973336,61.5,35063424,38.5,2000
Fantasia 2000,90874570,60655420,66.7,30219150,33.3,2000
Autumn in New York,90726668,37761915,41.6,52964753,58.4,2000
Bring It On,90449929,68379000,75.6,22070929,24.4,2000
Bedazzled,90383208,37886980,41.9,52496228,58.1,2000
Snatch,83557872,30328156,36.3,53229716,63.7,2000
Men of Honor,82343495,48818921,59.3,33524574,40.7,2000
Finding Forrester,80049764,51804714,64.7,28245050,35.3,2000
The Road to El Dorado,76432727,50863742,66.5,25568985,33.5,2000
Dude Where's My Car?,73180723,46729800,63.9,26450923,36.1,2000
O Brother Where Art Thou?,71868327,45512588,63.3,26355739,36.7,2000
Rules of Engagement,71732303,61335230,85.5,10397073,14.5,2000
Frequency,68106245,45010278,66.1,23095967,33.9,2000
Thirteen Days,66579890,34592089,52.0,31987801,48.0,2000
Proof of Life,62761005,32598931,51.9,30162074,48.1,2000
Snow Day,62464731,60020107,96.1,2444624,3.9,2000
28 Days,62198945,37170488,59.8,25028457,40.2,2000
Taxi 2,60726164,626164,1.0,60100000,99.0,2000
Keeping the Faith,59945183,37047880,61.8,22897303,38.2,2000
Next Friday,59827328,57328603,95.8,2498725,4.2,2000
The Flintstones in Viva Rock Vegas,59468275,35268275,59.3,24200000,40.7,2000
Little Nicky,58292295,39464775,67.7,18827520,32.3,2000
Pay It Forward,55707411,33519628,60.2,22187783,39.8,2000
Bounce,53425292,36805288,68.9,16620004,31.1,2000
Pitch Black,53187659,39240659,73.8,13947000,26.2,2000
Hanging Up,51880044,36050230,69.5,15829814,30.5,2000
The Skulls,50802120,35046120,69.0,15756000,31.0,2000
The Replacements,50054511,44737059,89.4,5317452,10.6,2000
Book of Shadows: Blair Witch 2,47737094,26437094,55.4,21300000,44.6,2000
Almost Famous,47383689,32534850,68.7,14848839,31.3,2000
The Watcher,47267829,28946615,61.2,18321214,38.8,2000
High Fidelity,47126295,27287137,57.9,19839158,42.1,2000
Dracula 2000,47053625,33022767,70.2,14030858,29.8,2000
The Gift,44567606,12008642,26.9,32558964,73.1,2000
Where the Heart Is,40863718,33772838,82.6,7090880,17.4,2000
Bless the Child,40443010,29381494,72.6,11061516,27.4,2000
The Art of War,40400425,30208599,74.8,10191826,25.2,2000
Dancer in the Dark,40031879,4184036,10.5,35847843,89.5,2000
The Legend of Bagger Vance,39459427,30919168,78.4,8540259,21.6,2000
Urban Legends: Final Cut,38574362,21468807,55.7,17105555,44.3,2000
The Original Kings of Comedy,38182790,38182790,100.0,0,0.0,2000
Titan A.E.,36754634,22753426,61.9,14001208,38.1,2000
Return to Me,36609995,32722798,89.4,3887197,10.6,2000
My Dog Skip,35547761,34134641,96.0,1413120,4.0,2000
The Adventures of Rocky & Bullwinkle,35134820,26005820,74.0,9129000,26.0,2000
American Psycho,34266564,15070285,44.0,19196279,56.0,2000
Dungeons & Dragons,33978694,15391970,45.3,18586724,54.7,2000
Red Planet,33463969,17480890,52.2,15983079,47.8,2000
Wonder Boys,33426588,19393557,58.0,14033031,42.0,2000
Reindeer Games,32168970,23368995,72.6,8799975,27.4,2000
Lost Souls,31355910,16815253,53.6,14540657,46.4,2000
Small Time Crooks,29934477,17266359,57.7,12668118,42.3,2000
Battlefield Earth,29725663,21471685,72.2,8253978,27.8,2000
Nurse Betty,29360400,25170054,85.7,4190346,14.3,2000
Boiler Room,28780255,16970581,59.0,11809674,41.0,2000
The Little Vampire,27965865,13572400,48.5,14393465,51.5,2000
Love & Basketball,27728118,27459615,99.0,268503,1.0,2000
Cirque du Soleil: Journey of Man,27538359,15627434,56.7,11910925,43.3,2000
Center Stage,26385941,17200925,65.2,9185016,34.8,2000
Saving Grace,26330482,12178602,46.3,14151880,53.7,2000
Boys and Girls,25850615,21799652,84.3,4050963,15.7,2000
Down to You,24419914,20069008,82.2,4350906,17.8,2000
The Next Best Thing,24362772,14990582,61.5,9372190,38.5,2000
Dr. T & the Women,22844291,13113041,57.4,9731250,42.6,2000
The Contender,22361811,17872723,79.9,4489088,20.1,2000
Michael Jordan to the Max,21268532,18650521,87.7,2618011,12.3,2000
Best in Show,20789556,18715392,90.0,2074164,10.0,2000
Thomas and the Magic Railroad,19748009,15933506,80.7,3814503,19.3,2000
Get Carter,19412993,14967182,77.1,4445811,22.9,2000
The Ninth Gate,18661336,18661336,100.0,0,0.0,2000
Loser,18404706,15618626,84.9,2786080,15.1,2000
All the Pretty Horses,18133495,15540353,85.7,2593142,14.3,2000
Quills,17989227,7065332,39.3,10923895,60.7,2000
CyberWorld,16653900,11253900,67.6,5400000,32.4,2000
Digimon: The Movie,16643191,9631153,57.9,7012038,42.1,2000
The Dish,16575074,2552992,15.4,14022082,84.6,2000
Italian for Beginners,16349568,4544753,27.8,11804815,72.2,2000
Drowning Mona,15906764,15506764,97.5,400000,2.5,2000
Highlander: Endgame,15843608,12811858,80.9,3031750,19.1,2000
Bait,15471969,15325127,99.1,146842,0.9,2000
Supernova,14828081,14230455,96.0,597626,4.0,2000
Malena,14493284,3448233,23.8,11045051,76.2,2000
I Dreamed of Africa,14400327,6651522,46.2,7748805,53.8,2000
What Planet Are You From?,14145677,6291602,44.5,7854075,55.5,2000
